Repositorio/Año,Mes,Categoría,Nombre del archivo,Ruta completa,Tamaño del archivo (bytes),Palabras clave detectadas
2015,Noviembre,Créditos,QueryCreditosEmpresariales.sql,Noviembre2015/Julita/QueryCreditosEmpresariales.sql,9423,cred
2015,Noviembre,RCC,CalificacionUriesgos.sql,Noviembre2015/Julita/CalificacionUriesgos.sql,394107,riesgo
2015,Noviembre,Créditos,QueryDesembolsosMes.sql,Noviembre2015/CPurisDesembolso_Oct2015/QueryDesembolsosMes.sql,10409,desemb
2015,Noviembre,Créditos,QueryCredUnicuotas_al30092015.sql,Noviembre2015/CredUniCuotas/QueryCredUnicuotas_al30092015.sql,10786,cred
2015,Noviembre,Cartera,QueryCartSelva.sql,Noviembre2015/CarteraAgSelva/QueryCartSelva.sql,6093,"cart, selva"
2015,Noviembre,Análisis Geográfico,QueryAmpliaLimaNorte.sql,Noviembre2015/AmpliacionesLimaNorte/QueryAmpliaLimaNorte.sql,21099,norte
2015,Noviembre,Créditos,QueryHipotecarios.sql,Noviembre2015/CredHipotDesemdesde2010/QueryHipotecarios.sql,5153,cred
2015,Noviembre,Otros,Query.sql,Noviembre2015/CalificacionSraEli/Query.sql,658,
2015,Noviembre,Reportes SBS,QueryAnexoSBS.sql,Noviembre2015/AnexoSBS/QueryAnexoSBS.sql,1446,sbs
2015,Noviembre,Análisis Financiero,QueryEEFF.sql,Noviembre2015/EEFFNoMinorista/QueryEEFF.sql,7073,eeff
2015,Noviembre,Otros,QueryLircay.sql,Noviembre2015/Dennis_Lircay/QueryLircay.sql,9664,
2015,Noviembre,Otros,Query_DiasGracias.sql,Noviembre2015/DiasGraciaJulita/Query_DiasGracias.sql,3173,
2015,Noviembre,Reportes SBS,Query.sql,Noviembre2015/Sentinel/Query.sql,270,sentinel
2015,Noviembre,Clientes,QueryAgencias.sql,Noviembre2015/ClientesCompartidos/CantClientes_GPI/QueryAgencias.sql,413,"cli, agencia"
2015,Noviembre,Clientes,QueryRCC_Espejo.sql,Noviembre2015/ClientesCompartidos/CantClientes_GPI/QueryRCC_Espejo.sql,264,"cli, rcc"
2015,Noviembre,Clientes,QueryCantCliRCC_v02.sql,Noviembre2015/ClientesCompartidos/CantClientes_GPI/QueryCantCliRCC_v02.sql,16193,"cli, rcc"
2015,Noviembre,Clientes,ExtraeNumeroClientesExclusivosCompartidosporAgencia.sql,Noviembre2015/ClientesCompartidos/CantClientes_GPI/ExtraeNumeroClientesExclusivosCompartidosporAgencia.sql,5755,"cli, agencia"
2015,Noviembre,Clientes,QueryCantCliRCC_v03.sql,Noviembre2015/ClientesCompartidos/CantClientes_GPI/QueryCantCliRCC_v03.sql,28717,"cli, rcc"
2015,Noviembre,Clientes,QueryClientesCompartidos.sql,Noviembre2015/ClientesCompartidos/CantClientes_GPI/QueryClientesCompartidos.sql,9765,cli
2015,Noviembre,Cartera,QueryCarteraActEconoV01.sql,Noviembre2015/CarteraActEcono/QueryCarteraActEconoV01.sql,3750,cart
2015,Noviembre,Créditos,QueryCredPlazoFijo.sql,Noviembre2015/CredPlazoFijo/QueryCredPlazoFijo.sql,2904,cred
2015,Noviembre,Otros,QueryRakingAsesores.sql,Noviembre2015/RankingAsesores/QueryRakingAsesores.sql,8699,
2015,Noviembre,Otros,QueryDataClass.sql,Noviembre2015/DataClass/QueryDataClass.sql,10498,
2015,Noviembre,Otros,QueryDataProductos.sql,Noviembre2015/DataProductos_JuandDios/QueryDataProductos.sql,6982,
2015,Noviembre,Créditos,QueryCrediCasaHan.sql,Noviembre2015/CrediCasaHabitacional/QueryCrediCasaHan.sql,3718,"cred, credicasa"
2015,Diciembre,Créditos,QueryCreditosHipotecarios.sql,Diciembre2015/CreditosHipotecarios/QueryCreditosHipotecarios.sql,4841,cred
2015,Diciembre,Otros,QueryFinanzasDataHistorica.sql,Diciembre2015/FinanzasDataHistorica/QueryFinanzasDataHistorica.sql,4602,
2015,Diciembre,Otros,QueryFinanzasDataHistoricaV01.sql,Diciembre2015/FinanzasDataHistorica/QueryFinanzasDataHistoricaV01.sql,2024,
2015,Diciembre,Análisis Geográfico,QueryGestionSaldoxAgencia.sql,Diciembre2015/GestionSaldosxAgencia/QueryGestionSaldoxAgencia.sql,9602,agencia
2015,Diciembre,Otros,QueryMiVivienda.sql,Diciembre2015/MiVivienda/QueryMiVivienda.sql,6346,
2015,Diciembre,Otros,SQLTablaTemporal.sql,Diciembre2015/TablaTemporal/SQLTablaTemporal.sql,4222,
2015,Diciembre,Otros,QueryLlenado.sql,Diciembre2015/JoseZuritaLlenado/QueryLlenado.sql,536,
